date;close;volume;open;high;low
2012/03/06;197.26;5214081;199.14;199.64;196.812
2012/03/05;200.66;6937726;198.36;201.19;198.3
2012/03/02;198.81;3723268;197.1;198.89;197.06
2012/03/01;197.53;3560506;197.23;198.47;196.93
2012/02/29;196.73;5119943;197.86;199.17;196.45
2012/02/28;197.98;3167381;197.75;198.96;197.4322
2012/02/27;197.53;3743863;196.78;198.71;196.1
2012/02/24;197.76;3352942;198.38;198.56;196.61
2012/02/23;197.61;8030805;193.87;199.23;193.28
2012/02/22;193.87;3275729;193.03;194.74;192.75
2012/02/21;193.39;3293523;193.73;194.24;192.46
2012/02/17;193.42;3746479;193.71;193.86;192.3
2012/02/16;193.02;3525140;192.61;193.25;192
2012/02/15;192.25;4020839;192.31;193.44;191.26
2012/02/14;192.22;3398022;191.76;192.6;190.831
2012/02/13;192.62;2457736;193.31;193.69;191.74
2012/02/10;192.42;3391077;191.76;192.43;191.28
2012/02/09;193.13;3876130;193.03;194.46;192.55
2012/02/08;192.95;3803143;192.78;193.58;191.73
2012/02/07;193.35;3432953;192.45;194.14;191.97
2012/02/06;192.82;3639707;192.48;193.76;192
2012/02/03;193.64;4520396;192.93;194.13;192.54
2012/02/02;191.53;3907260;192.72;193.33;191.33
2012/02/01;192.62;5088467;193.21;194.81;192.41
2012/01/31;192.6;4827338;193.09;193.1;191
2012/01/30;192.5;4358538;189.39;192.73;188.22
2012/01/27;190.46;3360321;190.01;191.77;189.81
2012/01/26;190.98;4004615;191.79;192.79;190.47
2012/01/25;191.73;4359673;191.33;192.2399;189.61
2012/01/24;191.93;5344342;188.63;192.305;188.5241
2012/01/23;189.98;5751203;187.91;190.52;187.67
2012/01/20;188.52;12840830;185.77;188.97;184.75
2012/01/19;180.52;8551289;181.79;182.3599;180.35
2012/01/18;181.07;4599471;179.83;181.6;179.5
2012/01/17;180;6002899;180.36;182;179.32
2012/01/13;179.16;5278248;179.48;179.61;177.3472
2012/01/12;180.55;6879162;181.86;181.91;178.38
2012/01/11;182.32;4109669;180.73;182.81;180.5
2012/01/10;181.31;5160796;183.23;183.72;181.2
2012/01/09;181.59;5200366;182.2;182.27;180.27
2012/01/06;182.54;4895076;184.39;184.48;182.31
2012/01/05;184.66;4447553;184.81;185.03;183.1
2012/01/04;185.54;4345690;185.57;186.33;184.94
2012/01/03;186.3;5644199;186.73;188.71;186
2011/12/30;183.88;3530180;186.33;186.48;183.85
2011/12/29;186.18;2928165;184.07;186.23;184.01
2011/12/28;183.99;2871588;185.19;185.4;183.34
2011/12/27;184.95;2774414;184.97;185.85;184.39
2011/12/23;184.75;3051191;183.11;184.85;181.89
2011/12/22;182.04;5051810;182.71;182.8;181
2011/12/21;181.47;9277867;183.22;183.5;179.04
2011/12/20;187.24;4733472;185.5;187.33;184.755
2011/12/19;182.89;5038746;184.51;184.69;182.25
2011/12/16;183.57;11847040;188.01;188.01;181.91
2011/12/15;187.48;4470274;190.48;191.2;186.89
2011/12/14;188.72;5053443;189.84;190.28;188
2011/12/13;191.15;5004211;193.46;194.3;190.64
2011/12/12;192.18;3793597;193.64;193.9;191.22
2011/12/09;194.56;4844170;192.91;194.87;192.4
2011/12/08;191.58;4366696;192.48;193.8;191.07
2011/12/07;194.05;5077423;191.99;194.9;191.28
2011/12/06;192.94;4143653;190.65;193.53;190.32
2011/12/05;190.84;5697292;191.18;193.61;190.38
2011/12/02;189.66;4962071;189.92;191.33;189.45
2011/12/01;189.45;4855985;187.01;189.99;186.77
2011/11/30;188;7832682;184.57;188.35;184.21
2011/11/29;180.94;3660946;182.02;183.31;180.84
2011/11/28;182.21;4521966;182.71;182.93;180.67
2011/11/25;177.06;2232713;178.01;179.56;177.06
2011/11/23;177.95;4798136;180.67;181.49;177.52
2011/11/22;181.31;4178263;182.22;182.98;180.29
2011/11/21;181.48;5142303;183.37;183.96;180
2011/11/18;185.24;4422611;186.71;186.97;184.66
2011/11/17;185.73;5824040;186.81;188.83;183.39
2011/11/16;186.62;4614394;187.82;189.9;186.3
2011/11/15;188.75;4582462;187.49;189.97;185.64
2011/11/14;187.35;6036550;189.17;189.84;186.85
2011/11/11;187.38;3663709;185.27;187.83;185.14
2011/11/10;183.35;3881558;183.58;184.77;181.87
2011/11/09;182.24;5484615;184.2;185.24;181.16
2011/11/08;187.25;4328621;187.48;187.88;185.51
2011/11/07;187.32;3513628;186.22;187.73;184.75
2011/11/04;186.38;3236852;186.27;187.14;184.74
2011/11/03;187.3;4950496;185.13;187.78;184.02
2011/11/02;183.92;4100445;184;185.25;183.03
2011/11/01;181.35;5878383;181.55;183.26;180.74
