date;close;volume;open;high;low
2008/04/14;451.66;3837812;457.16;457.45;450.15
2008/04/11;457.45;4150982;464.07;467.26;455.01
2008/04/10;469.08;5071641;464.96;473.864;461.85
2008/04/09;464.19;6047735;469.13;472;457.54
2008/04/08;467.81;4532645;473.04;474.14;462.01
2008/04/07;476.82;5941080;477.03;485.44;473.53
2008/04/04;471.09;5894741;457.01;477.83;456.2
2008/04/03;455.12;6778351;461.73;463.29;448.13
2008/04/02;465.7;5998113;469.9;475.74;460.39
2008/04/01;465.71;6092259;447.74;466.5;446.87
2008/03/31;440.47;4439069;435.64;442.69;432.01
2008/03/28;438.08;4375155;447.46;453.569;434.31
2008/03/27;444.08;5832191;446;448.61;440.49
2008/03/26;458.19;5176881;452.59;462.87;449.29
2008/03/25;450.78;5831509;457.46;457.47;446
2008/03/24;460.56;6755975;438.43;465.78;437.72
2008/03/20;433.55;9908609;427.32;435.7;417.5
2008/03/19;432;6178371;441.11;447.5;431.67
2008/03/18;439.16;7232441;428.98;440.84;425.5301
2008/03/17;419.87;7879334;427.99;433.71;412.11
2008/03/14;437.92;6574069;442.98;449.34;430.62
2008/03/13;443.01;7718675;432.67;446.98;428.78
2008/03/12;440.18;6651634;440.01;447.88;438.07
2008/03/11;439.8399;8826327;425.26;440.15;424.65
2008/03/10;413.62;7984562;428.83;431;413.04
2008/03/07;433.35;8071768;428.88;440;426.24
2008/03/06;432.7;7468915;447.69;453.3;431.18
2008/03/05;447.6999;7434448;445.25;454.17;444
2008/03/04;444.6;13619870;450.95;453.36;435.78
2008/03/03;457.02;7550407;471.51;472.72;450.11
2008/02/29;471.18;9395017;471.87;479.74;464.65
2008/02/28;475.39;6584926;470.5;479.09;467.36
2008/02/27;472.86;10121210;460.13;475.49;459.64
2008/02/26;464.19;23283470;461.2;466.47;446.85
2008/02/25;486.44;8340403;505.95;506.5;485.74
2008/02/22;507.8;5515184;502.06;509;497.5501
2008/02/21;502.86;5672852;512.85;513.21;499.5
2008/02/20;509;6661538;503.51;511.01;498.82
2008/02/19;508.95;6349786;534.94;535.06;506.5
2008/02/15;529.64;5202978;528.31;532.66;524.33
2008/02/14;532.25;6476243;538.35;541.04;531
2008/02/13;534.62;6548608;522.5;534.99;518.69
